,City,CompanyName,Date,From,JobLink,JobTitle_x,JobType,Job_ID,Position,Province,Salary,KeyWord,Skill_ID,Skill,JobTitle_y,Category
26,Toronto,CIBC,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=53e47810168e80a1,Senior Data Scientist - Analytics Research,Not Informed,53e47810168e80a1,['Senior Data Scientist - Analytics Research'], ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
27,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
28,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, SQL,2,SQL,Data Scientist,Hard
29,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, Math,6,Mathematcs,Data Scientist,Education
30,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, Statistics,8,Statistics,Data Scientist,Major
31,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, AI,10,Artificial Intelligence,Data Scientist,major
32,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
33,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, Hadoop,22,Hadoop,Data Scientist,Hard
34,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, Computer Science,25,Computer Science,Data Scientist,Major
35,Toronto,Agility consulting Inc,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=6e87ae66a10b3167,Data Scientist,Not Informed,6e87ae66a10b3167,['Data Scientist'], ON,Not Informed, SAS,28,SAS,Data Scientist,Hard
36,Oakville,Quartic.ai,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=e22404d0acf974af,Data Scientist,Not Informed,e22404d0acf974af,['Data Scientist'], ON,"['$70,000 - $100,000 a year']", Statistics,8,Statistics,Data Scientist,Major
37,Oakville,Quartic.ai,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=e22404d0acf974af,Data Scientist,Not Informed,e22404d0acf974af,['Data Scientist'], ON,"['$70,000 - $100,000 a year']", Machine Learning,9,Machine Learning,Data Scientist,Hard
38,Oakville,Quartic.ai,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=e22404d0acf974af,Data Scientist,Not Informed,e22404d0acf974af,['Data Scientist'], ON,"['$70,000 - $100,000 a year']", R,11,R,Data Scientist,Hard
39,Oakville,Quartic.ai,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=e22404d0acf974af,Data Scientist,Not Informed,e22404d0acf974af,['Data Scientist'], ON,"['$70,000 - $100,000 a year']", Spark,14,Spark,Data Scientist,Hard
40,Oakville,Quartic.ai,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=e22404d0acf974af,Data Scientist,Not Informed,e22404d0acf974af,['Data Scientist'], ON,"['$70,000 - $100,000 a year']", Computer Science,25,Computer Science,Data Scientist,Major
41,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
42,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Math,6,Mathematcs,Data Scientist,Education
43,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Statistics,8,Statistics,Data Scientist,Major
44,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
45,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Spark,14,Spark,Data Scientist,Hard
46,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Hadoop,22,Hadoop,Data Scientist,Hard
47,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Computer Science,25,Computer Science,Data Scientist,Major
48,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Physics,36,Physics,Data Scientist,Hard
49,Mississauga,Xylem,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3625131c23ab13f2,Data Scientist,Not Informed,3625131c23ab13f2,['Data Scientist'], ON,Not Informed, Physics,48,Physics,Data Scientist,Major
50,St. Catharines,SomaDetect,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=17972833a76841f6,Data Scientist (Deep Learning),Not Informed,17972833a76841f6,['Data Scientist (Deep Learning)'], ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
51,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
52,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, SQL,2,SQL,Data Scientist,Hard
53,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Math,6,Mathematcs,Data Scientist,Education
54,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
55,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Communication,16,Communication,Data Scientist,Soft
56,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Computer Science,25,Computer Science,Data Scientist,Major
57,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Bachelor,33,Bachelor,Data Scientist,Education
59,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Physics,36,Physics,Data Scientist,Hard
60,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Scala,41,Scala,Data Scientist,Hard
61,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Periscope,43,Periscope,Data Scientist,Hard
62,Toronto,Flipp,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=86e0e9a1dab7acf3,Data Scientist,Not Informed,86e0e9a1dab7acf3,['Data Scientist'], ON,Not Informed, Physics,48,Physics,Data Scientist,Major
63,Toronto,Scotiabank,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=e66940f01519e390,"Data Scientist Associate - Toronto, ON",Not Informed,e66940f01519e390,"['Data Scientist Associate - Toronto, ON']", ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
64,Ottawa,Slice Labs Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=5ebf78bc2438f855,Data Scientist,Not Informed,5ebf78bc2438f855,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
65,Ottawa,Slice Labs Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=5ebf78bc2438f855,Data Scientist,Not Informed,5ebf78bc2438f855,['Data Scientist'], ON,Not Informed, NumPy,4,NumPy,Data Scientist,Hard
66,Ottawa,Slice Labs Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=5ebf78bc2438f855,Data Scientist,Not Informed,5ebf78bc2438f855,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
67,Ottawa,Slice Labs Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=5ebf78bc2438f855,Data Scientist,Not Informed,5ebf78bc2438f855,['Data Scientist'], ON,Not Informed, Spark,14,Spark,Data Scientist,Hard
68,Ottawa,Slice Labs Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=5ebf78bc2438f855,Data Scientist,Not Informed,5ebf78bc2438f855,['Data Scientist'], ON,Not Informed, Hadoop,22,Hadoop,Data Scientist,Hard
69,Toronto,Amazon.com,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=13d57d7182af1b88,Data Scientist- Machine Learning,Not Informed,13d57d7182af1b88,['Data Scientist- Machine Learning'], ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
70,Halifax,Government of Canada,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=2e0869e716526f44,Junior Defence Scientist,Not Informed,2e0869e716526f44,['Junior Defence Scientist'], NS,"['$54,782 - $87,943 a year']",Not found,-1,Not Identified,Data Scientist,Not Identified
71,Toronto,Prodigy Game,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=5547d39589e97752,Data Scientist - Toronto,Not Informed,5547d39589e97752,['Data Scientist - Toronto'], ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
72,Toronto,Munich Re,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=96f5b2aafa9de20e,Data Scientist / Actuary,Not Informed,96f5b2aafa9de20e,['Data Scientist / Actuary'], ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
73,Toronto,Aimia,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=ced59f16092fdc21,Data Scientist,Not Informed,ced59f16092fdc21,['Data Scientist'], ON,Not Informed, Python,1,Python,Data Scientist,Hard
74,Toronto,Aimia,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=ced59f16092fdc21,Data Scientist,Not Informed,ced59f16092fdc21,['Data Scientist'], ON,Not Informed, SQL,2,SQL,Data Scientist,Hard
75,Toronto,Aimia,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=ced59f16092fdc21,Data Scientist,Not Informed,ced59f16092fdc21,['Data Scientist'], ON,Not Informed, R,11,R,Data Scientist,Hard
76,Montréal,TEC Energy Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3aa9935307b371a7,Data Scientist,Not Informed,3aa9935307b371a7,['Data Scientist'], QC,"['$75,000 - $100,000 a year']", Python,1,Python,Data Scientist,Hard
77,Montréal,TEC Energy Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3aa9935307b371a7,Data Scientist,Not Informed,3aa9935307b371a7,['Data Scientist'], QC,"['$75,000 - $100,000 a year']", SQL,2,SQL,Data Scientist,Hard
78,Montréal,TEC Energy Inc.,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=3aa9935307b371a7,Data Scientist,Not Informed,3aa9935307b371a7,['Data Scientist'], QC,"['$75,000 - $100,000 a year']", R,11,R,Data Scientist,Hard
79,North York,Crescendo Technology,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0559e913ae3c3115,Post 1011: Data Scientist,Not Informed,0559e913ae3c3115,['Post 1011: Data Scientist'], ON,Not Informed,Not found,-1,Not Identified,Data Scientist,Not Identified
80,Calgary,ATB Financial,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0271b3456b2ff5d9,Data Scientist,Not Informed,0271b3456b2ff5d9,['Data Scientist'], AB,['Permanent'], NumPy,4,NumPy,Data Scientist,Hard
81,Calgary,ATB Financial,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0271b3456b2ff5d9,Data Scientist,Not Informed,0271b3456b2ff5d9,['Data Scientist'], AB,['Permanent'], R,11,R,Data Scientist,Hard
82,Calgary,ATB Financial,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0271b3456b2ff5d9,Data Scientist,Not Informed,0271b3456b2ff5d9,['Data Scientist'], AB,['Permanent'], Java,31,Java,Data Scientist,Hard
83,Calgary,ATB Financial,11/20/2018,Indeed,https://ca.indeed.com//viewjob?jk=0271b3456b2ff5d9,Data Scientist,Not Informed,0271b3456b2ff5d9,['Data Scientist'], AB,['Permanent'], C/C++,32,C++,Data Scientist,Hard
